doc_id,filename,title,description,license,source_url,source_org,retrieved_at,category
site_safety_general,site_safety_general.md,General Site Safety Guidance,"PPE, site access, housekeeping, hazard reporting, emergency arrangements",synthetic / CC0
working_at_height,working_at_height.md,Working at Height,"Ladders, scaffolding, mobile towers, edge protection, fragile surfaces",synthetic / CC0
concrete_works,concrete_works.md,Concrete Works,"Pour planning, formwork, reinforcement, placing, curing, cold weather concreting",synthetic / CC0
electrical_safety,electrical_safety.md,Electrical Safety on Site,"Temporary electrics, cable management, inspection intervals, lockout-tagout, overhead lines",synthetic / CC0
fire_safety_hot_works,fire_safety_hot_works.md,Fire Safety and Hot Works,"Hot work permits, extinguishers, flammable storage, escape routes",synthetic / CC0
excavation_groundworks,excavation_groundworks.md,Excavation and Groundworks,"Permit to dig, trench support, spoil placement, confined spaces, backfilling",synthetic / CC0
hse_030,raw_sources/hse/hse_030.md,Demolition,,OGL v3.0,https://www.hse.gov.uk/construction/safetytopics/demolition.htm,Health and Safety Executive (HSE),2026-07-05,demolition
hse_031,raw_sources/hse/hse_031.md,Prevention of drowning,,OGL v3.0,https://www.hse.gov.uk/construction/safetytopics/prevention-of-drowning.htm,Health and Safety Executive (HSE),2026-07-05,water_safety
hse_032,raw_sources/hse/hse_032.md,Temporary works,,OGL v3.0,https://www.hse.gov.uk/construction/safetytopics/temporary-works.htm,Health and Safety Executive (HSE),2026-07-05,temporary_works
hse_033,raw_sources/hse/hse_033.md,Construction health risks key points,,OGL v3.0,https://www.hse.gov.uk/construction/healthrisks/key-points.htm,Health and Safety Executive (HSE),2026-07-05,health_risks
hse_034,raw_sources/hse/hse_034.md,Construction dust,,OGL v3.0,https://www.hse.gov.uk/construction/healthrisks/hazardous-substances/construction-dust.htm,Health and Safety Executive (HSE),2026-07-05,hazardous_substances
hse_035,raw_sources/hse/hse_035.md,Cement,,OGL v3.0,https://www.hse.gov.uk/construction/healthrisks/hazardous-substances/cement.htm,Health and Safety Executive (HSE),2026-07-05,hazardous_substances
hse_036,raw_sources/hse/hse_036.md,Asbestos,,OGL v3.0,https://www.hse.gov.uk/construction/healthrisks/cancer-and-construction/asbestos.htm,Health and Safety Executive (HSE),2026-07-05,hazardous_substances
hse_037,raw_sources/hse/hse_037.md,Silica dust,,OGL v3.0,https://www.hse.gov.uk/construction/healthrisks/cancer-and-construction/silica-dust.htm,Health and Safety Executive (HSE),2026-07-05,hazardous_substances
hse_038,raw_sources/hse/hse_038.md,Noise,,OGL v3.0,https://www.hse.gov.uk/construction/healthrisks/physical-ill-health-risks/noise.htm,Health and Safety Executive (HSE),2026-07-05,physical_health
hse_039,raw_sources/hse/hse_039.md,Vibration,,OGL v3.0,https://www.hse.gov.uk/construction/healthrisks/physical-ill-health-risks/vibration.htm,Health and Safety Executive (HSE),2026-07-05,physical_health
hse_040,raw_sources/hse/hse_040.md,Manual handling,,OGL v3.0,https://www.hse.gov.uk/construction/healthrisks/physical-ill-health-risks/manual-handling.htm,Health and Safety Executive (HSE),2026-07-05,physical_health
