question_id,strategy,question_type,expected_doc,top1_doc,top1_score,hit_at_k,grounding,certification_flag,answer
q29,recursive,in_scope,hse_036.md,hse_036.md,0.6954,1,strong,0,
q30,recursive,in_scope,hse_036.md,hse_036.md,0.6456,1,strong,0,
q31,recursive,in_scope,hse_038.md,hse_038.md,0.6551,1,strong,0,
q32,recursive,in_scope,hse_039.md,hse_039.md,0.7526,1,strong,0,
q33,recursive,in_scope,hse_040.md,hse_040.md,0.5995,1,strong,0,
q34,recursive,in_scope,hse_002.md,hse_002.md,0.6837,1,strong,0,
q35,recursive,in_scope,hse_030.md,hse_030.md,0.7414,1,strong,0,
q36,recursive,certification,hse_029.md,hse_029.md,0.5853,1,strong,1,
q37,recursive,certification,hse_022.md,hse_022.md,0.6397,1,strong,1,
q38,recursive,out_of_scope,,hse_005.md,0.4836,0,moderate,0,
q39,recursive,out_of_scope,,hse_012.md,0.1348,0,weak,0,
q40,recursive,out_of_scope,,hse_001.md,0.2391,0,weak,0,
q01,section,in_scope,site_safety_general.md,site_safety_general.md,0.5434,1,strong,0,
q02,section,in_scope,working_at_height.md,hse_012.md,0.7096,1,strong,0,
q03,section,in_scope,working_at_height.md,working_at_height.md,0.5751,1,strong,0,
q04,section,in_scope,concrete_works.md,concrete_works.md,0.6853,1,strong,0,
q05,section,in_scope,concrete_works.md,concrete_works.md,0.5235,1,strong,0,
q06,section,in_scope,electrical_safety.md,electrical_safety.md,0.7668,1,strong,0,
q07,section,in_scope,electrical_safety.md,electrical_safety.md,0.5072,1,strong,0,
q08,section,in_scope,fire_safety_hot_works.md,fire_safety_hot_works.md,0.6572,1,strong,0,
q09,section,in_scope,excavation_groundworks.md,excavation_groundworks.md,0.6987,1,strong,0,
q10,section,in_scope,excavation_groundworks.md,excavation_groundworks.md,0.5967,1,strong,0,
q11,section,certification,working_at_height.md,hse_012.md,0.6145,0,strong,1,
q12,section,certification,fire_safety_hot_works.md,hse_022.md,0.5950,0,strong,1,
q13,section,certification,concrete_works.md,concrete_works.md,0.4860,1,moderate,1,
q14,section,out_of_scope,,hse_035.md,0.1454,0,weak,0,
q15,section,out_of_scope,,hse_022.md,0.0938,0,weak,0,
q16,section,in_scope,hse_012.md,hse_012.md,0.5954,1,strong,0,
q17,section,in_scope,hse_012.md,hse_012.md,0.6945,1,strong,0,
q18,section,in_scope,hse_011.md,working_at_height.md,0.6523,1,strong,0,
q19,section,in_scope,hse_022.md,hse_022.md,0.7587,1,strong,0,
q20,section,in_scope,hse_022.md,hse_022.md,0.6670,1,strong,0,
q21,section,in_scope,hse_028.md,hse_028.md,0.5495,1,strong,0,
q22,section,in_scope,hse_028.md,hse_028.md,0.5924,1,strong,0,
q23,section,in_scope,hse_029.md,hse_029.md,0.5925,1,strong,0,
q24,section,in_scope,hse_029.md,hse_029.md,0.6434,1,strong,0,
q25,section,in_scope,hse_026.md,hse_026.md,0.7259,1,strong,0,
q26,section,in_scope,hse_025.md,hse_025.md,0.6851,1,strong,0,
q27,section,in_scope,hse_019.md,electrical_safety.md,0.7005,1,strong,0,
q28,section,in_scope,hse_034.md,hse_034.md,0.7163,1,strong,0,
q29,section,in_scope,hse_036.md,hse_036.md,0.6842,1,strong,0,
q30,section,in_scope,hse_036.md,hse_036.md,0.6955,1,strong,0,
q31,section,in_scope,hse_038.md,hse_038.md,0.6459,1,strong,0,
q32,section,in_scope,hse_039.md,hse_039.md,0.7881,1,strong,0,
q33,section,in_scope,hse_040.md,hse_040.md,0.5604,1,strong,0,
q34,section,in_scope,hse_002.md,hse_002.md,0.7282,1,strong,0,
q35,section,in_scope,hse_030.md,hse_030.md,0.7502,1,strong,0,
q36,section,certification,hse_029.md,hse_029.md,0.5395,1,strong,1,
q37,section,certification,hse_022.md,hse_022.md,0.6222,1,strong,1,
q38,section,out_of_scope,,hse_005.md,0.4780,0,moderate,0,
q39,section,out_of_scope,,hse_012.md,0.1408,0,weak,0,
q40,section,out_of_scope,,hse_001.md,0.1430,0,weak,0,
